"Código","Cidade","Descrição","Casos","Percentual","Fator","%","Estado"
1,"ARACAJU","CASOS CONFIRMADOS",10992,"0,61",100,"60,8","SERGIPE"
2,"ARACAJU","PESSOAS INTERNADAS",260,"0,02",100,"2,4","SERGIPE"
3,"ARACAJU","PESSOAS ISOLADAS",4317,"0,39",100,"39,3","SERGIPE"
4,"ARACAJU","PESSOAS CURADAS",6220,"0,57",100,"56,6","SERGIPE"
5,"ARACAJU","ÓBITOS",195,"0,02",100,"1,8","SERGIPE"
6,"ARACAJU","CASOS SUSPEITOS",101,"0,01",100,"0,6","SERGIPE"
7,"ARACAJU","SUSPEITOS ISOLADOS",6,"0,06",100,"5,9","SERGIPE"
8,"ARACAJU","SUSPEITOS INTERNADOS",95,"0,94",100,"94,1","SERGIPE"
9,"ARACAJU","ÓBITOS SUSPEITOS",0,"0,00",100,"0,0","SERGIPE"
10,"ARACAJU","CASOS DESCARTADOS",6985,"0,39",100,"38,6","SERGIPE"
11,"ARACAJU","TOTAL TESTADOS",18078,"1,00",100,"100,0","SERGIPE"
12,"ARACAJU","NOVOS CASOS",293,"0,91",100,"91,0","SERGIPE"
13,"ARACAJU","NOVOS TESTES",322,"1,00",100,"100,0","SERGIPE"
14,"ARACAJU","LEITOS ATIVOS",111,"1,00",100,"100,0","SERGIPE"
15,"ARACAJU","LEITOS OCUPADOS",80,"0,72",100,"72,1","SERGIPE"
16,"ARACAJU","LEITOS DESOCUPADOS",31,"0,28",100,"27,9","SERGIPE"
17,"ARACAJU","NOVOS DESCARTADOS",29,"0,09",100,"9,0","SERGIPE"
